icd_code,threshold,f1,precision,recall,support,auc_roc,avg_precision,train_count
K219,0.5,0.5396043956043957,0.45486883059137395,0.6631374243733794,4628,0.7616539762303342,0.5989109817238993,30801
J45909,0.550000011920929,0.5348997926744989,0.5921958684009181,0.4877126654064272,1587,0.8216002219706138,0.5009168086464064,10612
D62,0.550000011920929,0.5331710286062081,0.48802228412256266,0.5875251509054326,1491,0.8890216523653277,0.49826744166642434,10130
I130,0.550000011920929,0.5316331535066209,0.5251937984496124,0.5382323733862959,1007,0.9247924593043357,0.5284435098254586,6516
Z87891,0.44999998807907104,0.5237339979608021,0.37902762974501925,0.8471687740516768,5457,0.6758247720696064,0.48325827807097427,36294
N179,0.5,0.518957345971564,0.4296926095487247,0.6550348953140578,3009,0.821682237661941,0.49313520239395914,19705
F329,0.5,0.5142937219730942,0.5021893814997264,0.5269959793222286,3482,0.7829018810944803,0.5349094138338425,23228
I129,0.44999998807907104,0.4704336399474376,0.435258358662614,0.511794138670479,1399,0.8421014920623465,0.447907961164526,9432
F419,0.550000011920929,0.46237393328161364,0.5089666951323655,0.4235963041933191,2814,0.761698272407682,0.47049653247065665,19151
N183,0.44999998807907104,0.46178861788617886,0.39859649122807017,0.548792270531401,1035,0.8766039340833147,0.47657579812984924,6804
I480,0.44999998807907104,0.4607664233576642,0.4187396351575456,0.5121703853955375,986,0.8871708837733178,0.477011294386956,6695
I110,0.550000011920929,0.4485179407176287,0.39764868603042874,0.5143112701252236,1118,0.8855209172045875,0.3886816038864794,7435
M109,0.550000011920929,0.41792929292929293,0.49924585218702866,0.35939196525515743,921,0.8536352249888649,0.38258928115096846,6219
E669,0.5,0.415433710472875,0.4540266328471782,0.38288770053475935,1870,0.7619241507273922,0.4121853105957667,12145
Z66,0.5,0.414855987872663,0.34481310373792523,0.5206087507926442,1577,0.8441518000102902,0.3838311193660327,10743
I5032,0.5,0.41361256544502617,0.3736991485335856,0.4630715123094959,853,0.8813874485019558,0.3627629415483578,5635
N400,0.550000011920929,0.4090194022024122,0.45990566037735847,0.36827195467422097,1059,0.892748927604639,0.414280593473438,6816
N189,0.5,0.4026936026936027,0.35851318944844124,0.4592933947772657,1302,0.8367450034466952,0.34024229406730705,8565
J9601,0.5,0.3909348441926346,0.30492424242424243,0.5445321307779031,887,0.8777460180299339,0.3304427458595205,5896
Z7902,0.44999998807907104,0.3900335409678965,0.31796875,0.5043370508054523,1614,0.8210318542297448,0.31768021531391666,10516
F17210,0.44999998807907104,0.3894329309952175,0.3249714937286203,0.48579545454545453,1760,0.7700051776145305,0.3569143812109744,11619
N390,0.5,0.36864931846344484,0.3378762067007382,0.4055896387184731,1467,0.8032477097145708,0.3269373267475614,9659
E871,0.550000011920929,0.3492932056543548,0.4031578947368421,0.3081255028157683,1243,0.7732415927245373,0.3065910082498658,8643
G8929,0.5,0.3448275862068966,0.36196911196911197,0.3292361720807726,1139,0.7804206982406385,0.28859700285131623,7535
J189,0.5,0.33946251768033947,0.2843601895734597,0.42105263157894735,855,0.8469876680204156,0.27291316692656925,5790
E872,0.5,0.32796276405298963,0.2928388746803069,0.3726606997558991,1229,0.79786628490777,0.25747307033149147,8160
Y929,0.44999998807907104,0.29907295445384924,0.23436512950094757,0.4131403118040089,1796,0.7083679454306993,0.24609933199599915,11548
D649,0.44999998807907104,0.2569051580698835,0.18562154364029815,0.41707185305240413,1851,0.6726283081459768,0.18272876766990614,12467
D696,0.4000000059604645,0.21247113163972287,0.136986301369863,0.4732510288065844,972,0.7442616914201546,0.14294306536668028,6438
K5900,0.4000000059604645,0.21213942307692307,0.14970313825275658,0.36391752577319586,970,0.7133909592639266,0.15357724049118565,7097
Y92230,0.4000000059604645,0.20257340811613328,0.14101975195222782,0.3594847775175644,854,0.7101576729428002,0.13293122113523145,5653
Y92239,0.4000000059604645,0.17777777777777778,0.1188118811881188,0.35294117647058826,884,0.6749030223548524,0.10400215948119412,5981
G4700,0.44999998807907104,0.17699115044247787,0.16605166051660517,0.18947368421052632,950,0.6890867537193068,0.1314185408184966,6450
Z23,0.3499999940395355,0.11019283746556474,0.0656311529205863,0.34324942791762014,874,0.5789001834907468,0.06939011866880901,5714
